user_id,top_ties,reciprocity,extrovert_score,num_circles,churn_rate,out_degree,in_degree,total_activity
43,"[(124, 420), (376, 270), (266, 67.0), (np.int64(125), 30)]",0.5,1.1538461538461537,3,0.5555555555555556,3,3,6
44,"[(503, 480), (527, 320.0), (105, 270), (12, 180), (529, 120)]",0.8333333333333334,4.3,4,0.0,5,6,11
45,"[(332, 300), (433, 240), (np.int64(155), 54.0), (np.int64(66), 23.0), (np.int64(67), 3.0)]",0.4,1.8947368421052633,5,0.2857142857142857,2,5,7
46,"[(212, 1530), (np.int64(188), 70.0)]",0.5,1.0,2,0.0,1,2,3
47,"[(278, 330), (354, 153.0)]",1.0,2.0,2,1.0,2,2,4
48,"[(517, 863.0), (378, 510), (561, 180)]",1.0,2.0,3,0.0,3,3,6
49,"[(70, 630), (159, 300), (69, 90), (333, 37.0), (np.int64(421), 30)]",0.8,3.5,4,0.0,4,5,9
50,"[(27, 340.0), (221, 239.0), (199, 134.0), (197, 90), (141, 39.0)]",0.5,6.32258064516129,8,0.25,7,5,12
51,"[(np.int64(422), 130.0), (346, 60)]",0.5,1.0,3,0.0,1,2,3
52,"[(551, 1170), (420, 41.0)]",0.5,2.0,3,0.0,2,1,3
53,"[(357, 180), (246, 150), (54, 143.0)]",0.6666666666666666,3.0,3,0.0,3,2,5
54,"[(29, 450), (233, 180), (207, 150), (np.int64(53), 143.0), (144, 90)]",0.8571428571428571,5.333333333333333,6,0.0,6,7,13
55,"[(448, 480), (332, 43.0), (35, 14.0)]",0.6666666666666666,3.0,5,1.0,3,2,5
56,"[(37, 197.0), (np.int64(168), 152.0), (445, 90)]",0.3333333333333333,2.0,6,0.0,2,2,4
57,"[(273, 240), (114, 90), (np.int64(416), 41.0), (23, 7.0)]",0.5,3.0,5,0.0,3,3,6
58,"[(103, 840), (89, 531.0), (162, 30), (152, 10.0)]",0.75,4.0,4,0.0,4,3,7
59,"[(169, 540), (36, 330), (np.int64(505), 71.0)]",0.6666666666666666,2.0,4,0.0,2,3,5
60,"[(38, 1050), (118, 780), (261, 90), (486, 60), (271, 36.0)]",0.8,5.0,7,0.0,5,4,9
61,"[(441, 930), (19, 279.0), (25, 270)]",1.0,3.0,4,0.0,3,3,6
